parent_asin,title,description,features,categories,retrieval_text
B002Q8W2W8,Thou Shalt Laugh 4,"Product Description Having sold close to a half a million DVD's, the THOU SHALT LAUGH series is known far and wide for hilarious and sophisticated family entertainment. And now - you lucky consumer you - comes THOU SHALT LAUGH 4, the latest installment in the best-selling Christian comedy series. Hosted by multi-talented and Emmy award-winning family man John Tesh, THOU SHALT LAUGH 4 features returning fan-favorites Taylor Mason and Michael Jr. as well as unforgettable performances from TSL newcomers Dana Daniels, Isaac Witty, Rex Havens and Joe Wong. Looking for funny? Your prayers have been answered! Review Great fun for the whole family. The phenomenon began back in 2006 when producers Hunt Lowry and Jonathan Bock took a step of faith and brought forth the proposition that the world was ready for comedy of, by, and for Christians. Other comedy concerts had entered the video arena, mostly to lie dormant on video store shelves. Thou Shalt Laugh, aided by a proper distribution campaign, sparked an interest that has generated more sales than any other Christian comedy DVD. In an era when laughs are so often mined from anatomical and scatological riffs, and the grosser the comedy, the bigger the box office grosses, here came a refreshing and, I m glad to add, funny alternative. Previous installments in the comic series had Patricia Heaton, Tim Conway, and Sinbad as masters of ceremony. Part 4 is hosted by John Tesh. Tesh, the blondest of the hosts, introduces Dana Daniels, Rex Havens, Taylor Mason, Michael Jr., Isaac Witty and Joe Wong. Focusing on the human condition, the routines spotlight marriage, the difference between men and women, the trouble with youth, our culture and racism. There s a magician, a puppeteer and even a boogie-woogie-playing pianist. Lively, witty and perceptive, each comedian arouses smiles, giggles and even guffaws. As he did in T. S. L. 1, 2, and 3, Taylor Mason closes the show. With his use of puppets and ventriloquism, Mr. Taylor reaches audiences of all ages. His awards range from winning the $100,000 Star Search grand prize in 1991 to an Emmy for his TV pilot Bananas. In my opinion, he s one of the sharpest funnymen around. In this installment of the franchise, he brings down the house with some incredible piano playing, as well as featuring his favorite alter ego, Romeo, who always seems to find a pretty girl in the audience whom he wishes to empress. It s a pleasure to be reminded once again that comedy can be used to edify as well as entertain. And that wit is always more satisfying than the I-can t believe-I-just saw-that shock factor. Thou Shalt Laugh 4 will be available November 3, 2009 and makes a perfect Christmas stocking stuffer for teens and adults. --Phil Boatwright - Preview On LineTHOU SHALT LAUGH 4 Clean Humor Does Exist Written by Paula K. Parker I must have been born in the wrong era. I don t find stand up comedy with bathroom, insulting, or off-colored jokes to be funny. I began to think that I wasn t going to find many more comedians to enjoy...until Thou Shalt Laugh appeared on the market. This series of DVDs with Christian comedians telling clean and hilarious jokes proved me wrong. Releasing on November 3, Thou Shalt Laugh 4 follows in the steps of the first three shows. This latest installment of the best-selling Christian comedy DVD series is hosted by multi-talented and Emmy award winning family man John Tesh and showcases fan favorites and returning comedians Taylor Mason and Michael Jr. along with unforgettable performances from newcomers Dana Daniels, Isaac Witty, Rex Havens and Joe Wong. Rex Havens opened with some humorous comments on the names cars; proving that comedians can find humor in the weirdest places. His comments on weddings, wedding rings and women s shoes will have men and women laughing and nodding in agreement. Joe Wong, a naturalized citizen from China, makes his debut on Thou Shalt Laugh, uses his background to poke fun at himself, ethnicity, and politics; his story of becoming a naturalized citizen was comical. Those who have been around a while (okay, we old people ) might remember Christian comedy team John and Vicki-Jo Witty. Their son Isaac s appearance on Thou Shalt Laugh 4 proves that some things are inherited. Only a Witty could find something funny in carrot cake. Michael Jr. observations on his early life as a Christian especially trying to pray in church and people who are oversaved were sidesplitting. Magicians are becoming quite common among Christian entertainers; Dana Daniels set, however, had something no other magician Christian or secular has; Luigi, a psychic parrot. His set was a roller coaster of corny humor and comical improv, thrown in with some surprising magic tricks. Fans of the Thou Shalt Laugh series will be excited to know that Taylor Mason is once again part of the lineup. Hilarious is too weak a word to describe Mason. A world-class ventriloquist, he brings back his friends Paco the Pig and Romeo the cool girl-chasing dude. Mason, a gifted musician in his own right, performs an amazing duet with John Tesh. Filmed before a live audience at Corpus Christi's mega-church Bay Area Fellowship, Thou Shalt Laugh 4 is good clean fun that everyone - no matter what era they re from - can enjoy. --Written by Paula K. Parker - BuddyHollywood.com",,Movies & TV Genre for Featured Categories Kids & Family,"Thou Shalt Laugh 4. Product Description Having sold close to a half a million DVD's, the THOU SHALT LAUGH series is known far and wide for hilarious and sophisticated family entertainment. And now - you lucky consumer you - comes THOU SHALT LAUGH 4, the latest installment in the best-selling Christian comedy series. Hosted by multi-talented and Emmy award-winning family man John Tesh, THOU SHALT LAUGH 4 features returning fan-favorites Taylor Mason and Michael Jr. as well as unforgettable performances from TSL newcomers Dana Daniels, Isaac Witty, Rex Havens and Joe Wong. Looking for funny? Your prayers have been answered! Review Great fun for the whole family. The phenomenon began back in 2006 when producers Hunt Lowry and Jonathan Bock took a step of faith and brought forth the proposition that the world was ready for comedy of, by, and for Christians. Other comedy concerts had entered the video arena, mostly to lie dormant on video store shelves. Thou Shalt Laugh, aided by a proper distribution campaign, sparked an interest that has generated more sales than any other Christian comedy DVD. In an era when laughs are so often mined from anatomical and scatological riffs, and the grosser the comedy, the bigger the box office grosses, here came a refreshing and, I m glad to add, funny alternative. Previous installments in the comic series had Patricia Heaton, Tim Conway, and Sinbad as masters of ceremony. Part 4 is hosted by John Tesh. Tesh, the blondest of the hosts, introduces Dana Daniels, Rex Havens, Taylor Mason, Michael Jr., Isaac Witty and Joe Wong. Focusing on the human condition, the routines spotlight marriage, the difference between men and women, the trouble with youth, our culture and racism. There s a magician, a puppeteer and even a boogie-woogie-playing pianist. Lively, witty and perceptive, each comedian arouses smiles, giggles and even guffaws. As he did in T. S. L. 1, 2, and 3, Taylor Mason closes the show. With his use of puppets and ventriloquism, Mr. Taylor reaches audiences of all ages. His awards range from winning the $100,000 Star Search grand prize in 1991 to an Emmy for his TV pilot Bananas. In my opinion, he s one of the sharpest funnymen around. In this installment of the franchise, he brings down the house with some incredible piano playing, as well as featuring his favorite alter ego, Romeo, who always seems to find a pretty girl in the audience whom he wishes to empress. It s a pleasure to be reminded once again that comedy can be used to edify as well as entertain. And that wit is always more satisfying than the I-can t believe-I-just saw-that shock factor. Thou Shalt Laugh 4 will be available November 3, 2009 and makes a perfect Christmas stocking stuffer for teens and adults. --Phil Boatwright - Preview On LineTHOU SHALT LAUGH 4 Clean Humor Does Exist Written by Paula K. Parker I must have been born in the wrong era. I don t find stand up comedy with bathroom, insulting, or off-colored jokes to be funny. I began to think that I wasn t going to find many more comedians to enjoy...until Thou Shalt Laugh appeared on the market. This series of DVDs with Christian comedians telling clean and hilarious jokes proved me wrong. Releasing on November 3, Thou Shalt Laugh 4 follows in the steps of the first three shows. This latest installment of the best-selling Christian comedy DVD series is hosted by multi-talented and Emmy award winning family man John Tesh and showcases fan favorites and returning comedians Taylor Mason and Michael Jr. along with unforgettable performances from newcomers Dana Daniels, Isaac Witty, Rex Havens and Joe Wong. Rex Havens opened with some humorous comments on the names cars; proving that comedians can find humor in the weirdest places. His comments on weddings, wedding rings and women s shoes will have men and women laughing and nodding in agreement. Joe Wong, a naturalized citizen from China, makes his debut on Thou Shalt Laugh, uses his background to poke fun at himself, ethnicity, and politics; his story of becoming a naturalized citizen was comical. Those who have been around a while (okay, we old people ) might remember Christian comedy team John and Vicki-Jo Witty. Their son Isaac s appearance on Thou Shalt Laugh 4 proves that some things are inherited. Only a Witty could find something funny in carrot cake. Michael Jr. observations on his early life as a Christian especially trying to pray in church and people who are oversaved were sidesplitting. Magicians are becoming quite common among Christian entertainers; Dana Daniels set, however, had something no other magician Christian or secular has; Luigi, a psychic parrot. His set was a roller coaster of corny humor and comical improv, thrown in with some surprising magic tricks. Fans of the Thou Shalt Laugh series will be excited to know that Taylor Mason is once again part of the lineup. Hilarious is too weak a word to describe Mason. A world-class ventriloquist, he brings back his friends Paco the Pig and Romeo the cool girl-chasing dude. Mason, a gifted musician in his own right, performs an amazing duet with John Tesh. Filmed before a live audience at Corpus Christi's mega-church Bay Area Fellowship, Thou Shalt Laugh 4 is good clean fun that everyone - no matter what era they re from - can enjoy. --Written by Paula K. Parker - BuddyHollywood.com  Movies & TV Genre for Featured Categories Kids & Family"
B0B8Q4NJ8C,Father of the Bride,"You are invited to the love, the food, the music and the fun of “Father of the Bride,” a modern rom-com updated from the timeless classic that shows the surprising ways the heart can adapt in the name of love.",IMDb 5.9 1 h 57 min 2022 X-Ray PG-13,Comedy Drama Romance,"Father of the Bride. You are invited to the love, the food, the music and the fun of “Father of the Bride,” a modern rom-com updated from the timeless classic that shows the surprising ways the heart can adapt in the name of love. IMDb 5.9 1 h 57 min 2022 X-Ray PG-13 Comedy Drama Romance"
B00G2TAAVM,How I Live Now,"Set in the near-future UK, Saoirse Ronan plays Daisy, an American teenager sent to stay with relatives in the English countryside. Initially withdrawn and alienated, she begins to warm up to her charming surroundings and strikes up a romance with the handsome Edmund (George MacKay). But on the fringes of their idyllic summer days are tense news reports of an escalating conflict in Europe. As the UK falls into a violent, chaotic military state, Daisy finds herself hiding and fighting to survive.",IMDb 6.4 1 h 41 min 2013 R,International Drama Bleak Eerie,"How I Live Now. Set in the near-future UK, Saoirse Ronan plays Daisy, an American teenager sent to stay with relatives in the English countryside. Initially withdrawn and alienated, she begins to warm up to her charming surroundings and strikes up a romance with the handsome Edmund (George MacKay). But on the fringes of their idyllic summer days are tense news reports of an escalating conflict in Europe. As the UK falls into a violent, chaotic military state, Daisy finds herself hiding and fighting to survive. IMDb 6.4 1 h 41 min 2013 R International Drama Bleak Eerie"
B0055EAJ7A,Thor (Three-Disc Combo: Blu-ray 3D / Blu-ray / DVD / Digital Copy) [3D Blu-ray],"The epic adventure Thor spans the Marvel universe from present-day Earth to the cosmic realm of Asgard. At the center of the story is The Mighty Thor, a powerful but arrogant warrior whose reckless actions reignite an ancient war. As a result, Thor is banished to Earth where he is forced to live among humans. When the most dangerous villain of his world sends its darkest forces to invade Earth, Thor learns what it takes to be a true hero.",,Movies & TV Blu-ray Movies,"Thor (Three-Disc Combo: Blu-ray 3D / Blu-ray / DVD / Digital Copy) [3D Blu-ray]. The epic adventure Thor spans the Marvel universe from present-day Earth to the cosmic realm of Asgard. At the center of the story is The Mighty Thor, a powerful but arrogant warrior whose reckless actions reignite an ancient war. As a result, Thor is banished to Earth where he is forced to live among humans. When the most dangerous villain of his world sends its darkest forces to invade Earth, Thor learns what it takes to be a true hero.  Movies & TV Blu-ray Movies"
B018HJ03UC,The Martian,"From legendary director Ridley Scott (Alien, Prometheus) comes a gripping tale of human strength and the will to survive, starring Matt Damon as an astronaut stranded on Mars.",IMDb 8.0 2 h 21 min 2015 X-Ray HDR UHD PG-13,Science Fiction Drama Anxious Biting,"The Martian. From legendary director Ridley Scott (Alien, Prometheus) comes a gripping tale of human strength and the will to survive, starring Matt Damon as an astronaut stranded on Mars. IMDb 8.0 2 h 21 min 2015 X-Ray HDR UHD PG-13 Science Fiction Drama Anxious Biting"
B00X8UK5UY,Catastrophe,"Rob Delaney and Sharon Horgan write and star in this R-rated comedy about a one-week stand between a Boston ad exec and a London schoolteacher that leads to an accidental pregnancy. When Rob moves to the UK to help figure things out, cultures clash and hormones flare as these two realize they don't know the first thing about each other.",IMDb 8.2 2015 6 episodes X-Ray TV-MA,Comedy Romance,"Catastrophe. Rob Delaney and Sharon Horgan write and star in this R-rated comedy about a one-week stand between a Boston ad exec and a London schoolteacher that leads to an accidental pregnancy. When Rob moves to the UK to help figure things out, cultures clash and hormones flare as these two realize they don't know the first thing about each other. IMDb 8.2 2015 6 episodes X-Ray TV-MA Comedy Romance"
B00CB6VTDS,Creative Galaxy,"Follow the adventures of Arty and his sidekick Epiphany, as they search the galaxy to solve creative problems with art! Whether Arty needs to create a painting for the new children’s library, a stuffed animal for his sister, or make a mask for his jungle pretend play, Arty and Epiphany come to the rescue by enlisting the help of the most creative of all – the preschool home viewer.",2014 13 episodes X-Ray ALL,Kids,"Creative Galaxy. Follow the adventures of Arty and his sidekick Epiphany, as they search the galaxy to solve creative problems with art! Whether Arty needs to create a painting for the new children’s library, a stuffed animal for his sister, or make a mask for his jungle pretend play, Arty and Epiphany come to the rescue by enlisting the help of the most creative of all – the preschool home viewer. 2014 13 episodes X-Ray ALL Kids"
B01M0S0C8M,Still Mine,"James Cromwell gives a tour de force performance in 'Still Mine,' a deeply moving love story about a couple in their twilight years. When Craig sets out to build a more suitable house for his ailing wife Irene, he is blindsided by the bureaucratic codes and officials. As Irene becomes increasingly ill, Craig takes a final stance against all odds to finish the house, in a truly inspirational story.",IMDb 7.4 1 h 43 min 2013 X-Ray PG-13,Drama International Gentle Touching,"Still Mine. James Cromwell gives a tour de force performance in 'Still Mine,' a deeply moving love story about a couple in their twilight years. When Craig sets out to build a more suitable house for his ailing wife Irene, he is blindsided by the bureaucratic codes and officials. As Irene becomes increasingly ill, Craig takes a final stance against all odds to finish the house, in a truly inspirational story. IMDb 7.4 1 h 43 min 2013 X-Ray PG-13 Drama International Gentle Touching"
B00Z89L6JW,The Kicks,"Devin Burke and her family have moved cross-country to California and now must adjust to a new life and a new soccer team. The Kentville Kicks don’t quite play up to the standard that Devin is used to, so she must establish herself as a leader while also trying to make friends in a strange place.",IMDb 6.8 2016 10 episodes X-Ray UHD 16+,Comedy Sports Kids,"The Kicks. Devin Burke and her family have moved cross-country to California and now must adjust to a new life and a new soccer team. The Kentville Kicks don’t quite play up to the standard that Devin is used to, so she must establish herself as a leader while also trying to make friends in a strange place. IMDb 6.8 2016 10 episodes X-Ray UHD 16+ Comedy Sports Kids"
B004XH9X4A,Miral,"From Academy Award nominated director Julian Schnabel, and based on the acclaimed semi-autobiographical novel, MIRAL is the story of a Palestinian girl coming of age amidst the war zone of the Israeli-Arab conflict - unflinchingly told through the perspective of Miral (Freida Pinto, SLUMDOG MILLIONAIRE) herself. Following the death of her troubled mother, Mirals father (Alexander Siddig) is forced to entrust her to the orphanage of Hind Husseini (Hiam Abbass), a woman whose commitment to peace through education has a profound impact on the maturing young woman as her epic journey to self-esteem and social consciousness proves both harrowing and hopeful. Also starring Willem Dafoe and Vanessa Redgrave.",,Movies & TV Genre for Featured Categories Drama,"Miral. From Academy Award nominated director Julian Schnabel, and based on the acclaimed semi-autobiographical novel, MIRAL is the story of a Palestinian girl coming of age amidst the war zone of the Israeli-Arab conflict - unflinchingly told through the perspective of Miral (Freida Pinto, SLUMDOG MILLIONAIRE) herself. Following the death of her troubled mother, Mirals father (Alexander Siddig) is forced to entrust her to the orphanage of Hind Husseini (Hiam Abbass), a woman whose commitment to peace through education has a profound impact on the maturing young woman as her epic journey to self-esteem and social consciousness proves both harrowing and hopeful. Also starring Willem Dafoe and Vanessa Redgrave.  Movies & TV Genre for Featured Categories Drama"
B001HN690O,Kung Fu Panda 2 / Secrets of the Masters (Two-Disc Blu-ray/DVD Combo),"3 ways to watch:  Blu-ray + DVD + Digital Copy.  Get the hit movie you loved plus the all-new Po adventure Kung Fu Panda: Secrets of the Masters , 2 free online game memberships to Kung Fu Panda World and so much more!",,Movies & TV Blu-ray Movies,"Kung Fu Panda 2 / Secrets of the Masters (Two-Disc Blu-ray/DVD Combo). 3 ways to watch:  Blu-ray + DVD + Digital Copy.  Get the hit movie you loved plus the all-new Po adventure Kung Fu Panda: Secrets of the Masters , 2 free online game memberships to Kung Fu Panda World and so much more!  Movies & TV Blu-ray Movies"
B000TSMOEI,Burst Angel: Hired Gun v.4,"Girls, guns and cool animation - catch these hot babes at a new low price! The city of Osaka is under siege! Takane finds herself against a wall unable to protect the lives shes sworn to protect. With Meg serving as bait, Sei finds herself on a short leash dealing with the newest gun in town. Meanwhile Meg and Jo are sent to stop a cold-blooded killer, but something unexpected occurs.",,Movies & TV Science Fiction & Fantasy Science Fiction Animation,"Burst Angel: Hired Gun v.4. Girls, guns and cool animation - catch these hot babes at a new low price! The city of Osaka is under siege! Takane finds herself against a wall unable to protect the lives shes sworn to protect. With Meg serving as bait, Sei finds herself on a short leash dealing with the newest gun in town. Meanwhile Meg and Jo are sent to stop a cold-blooded killer, but something unexpected occurs.  Movies & TV Science Fiction & Fantasy Science Fiction Animation"
B001DN0UR6,Jyu-Oh-Sei: Planet of the Beast King - The Complete Series S.A.V.E.,"In the distant future, humanity has migrated into space to settle in the Balkan System, leaving behind them a dying Earth. With the loss of their native home, the race has suffered. Safety is an illusion Their parents murdered and their easy life at an end, young twin brothers Thor and Rai find themselves jettisoned off-world and abandoned to their fate: Chimaera, a hostile planet where only the worst criminals are sent to die. With extreme temperatures and carnivorous plants, it is a world ruled by brutality, a place where mankind has been reduced to a savage state of survival. And the only hope of escape lies in conquering the planet and its peoples, to rise above them all as The Beast King. Boy must become man and man must become beast. Death is the only other option. DVD Extras Include: Episode 6 American Staff Commentary Episode 6 American Staff Commentary Original Commercials Original Commercials Textless Songs Textless Songs Trailers Trailers",,Movies & TV Science Fiction & Fantasy Science Fiction Animation,"Jyu-Oh-Sei: Planet of the Beast King - The Complete Series S.A.V.E.. In the distant future, humanity has migrated into space to settle in the Balkan System, leaving behind them a dying Earth. With the loss of their native home, the race has suffered. Safety is an illusion Their parents murdered and their easy life at an end, young twin brothers Thor and Rai find themselves jettisoned off-world and abandoned to their fate: Chimaera, a hostile planet where only the worst criminals are sent to die. With extreme temperatures and carnivorous plants, it is a world ruled by brutality, a place where mankind has been reduced to a savage state of survival. And the only hope of escape lies in conquering the planet and its peoples, to rise above them all as The Beast King. Boy must become man and man must become beast. Death is the only other option. DVD Extras Include: Episode 6 American Staff Commentary Episode 6 American Staff Commentary Original Commercials Original Commercials Textless Songs Textless Songs Trailers Trailers  Movies & TV Science Fiction & Fantasy Science Fiction Animation"
B0162LLCA2,,,,,.
B0035LQYGA,,,,,.
B08DX1WFWK,,,,,.
B00MR9VDDA,,,,,.
B002ZG981E,Inception (Blu-ray),"Product Description Acclaimed filmmaker Christopher Nolan directs an international cast in this sci-fi actioner that travels around the globe and into the world of dreams. Dom Cobb (Leonardo DiCaprio) is the best there is at extraction: stealing valuable secrets inside the subconscious during the mind’s vulnerable dream state. His skill has made him a coveted player in industrial espionage but also has made him a fugitive and cost him dearly. Now he may get a second chance if he can do the impossible: inception, planting an idea rather than stealing one. If they succeed, Cobb and his team could pull off the perfect crime. But no planning or expertise can prepare them for a dangerous enemy that seems to predict their every move. An enemy only Cobb could have seen coming. Review In terms of sheer originality, ambition and achievement, Inception is the movie of the summer, the movie of the year and the movie of our dreams --Pete Hammond, Boxoffice MagazineAs engrossing and logic-resistant as the state of dreaming it seeks to replicate, Christopher Nolan's audacious new creation demands further study to fully absorb the multiple, simultaneous stories Nolan finagles into one narrative experience. --Lisa Schwarzbaum, Entertainment WeeklyThis is a deeply felt work of art in the form of a big, brassy movie-movie. --Shawn Levy, Portland Oregonian",,Movies & TV Blu-ray Movies,"Inception (Blu-ray). Product Description Acclaimed filmmaker Christopher Nolan directs an international cast in this sci-fi actioner that travels around the globe and into the world of dreams. Dom Cobb (Leonardo DiCaprio) is the best there is at extraction: stealing valuable secrets inside the subconscious during the mind’s vulnerable dream state. His skill has made him a coveted player in industrial espionage but also has made him a fugitive and cost him dearly. Now he may get a second chance if he can do the impossible: inception, planting an idea rather than stealing one. If they succeed, Cobb and his team could pull off the perfect crime. But no planning or expertise can prepare them for a dangerous enemy that seems to predict their every move. An enemy only Cobb could have seen coming. Review In terms of sheer originality, ambition and achievement, Inception is the movie of the summer, the movie of the year and the movie of our dreams --Pete Hammond, Boxoffice MagazineAs engrossing and logic-resistant as the state of dreaming it seeks to replicate, Christopher Nolan's audacious new creation demands further study to fully absorb the multiple, simultaneous stories Nolan finagles into one narrative experience. --Lisa Schwarzbaum, Entertainment WeeklyThis is a deeply felt work of art in the form of a big, brassy movie-movie. --Shawn Levy, Portland Oregonian  Movies & TV Blu-ray Movies"
